Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
Colorado,US,4/1/2020 21:58,39.64977461,-104.3353617,333,6,0,0,"Arapahoe, Colorado, US"
Colorado,US,4/1/2020 21:58,37.19474156,-107.0476867,1,0,0,0,"Archuleta, Colorado, US"
Michigan,US,4/1/2020 21:58,44.0636262,-83.89277559,1,0,0,0,"Arenac, Michigan, US"
Arkansas,US,4/1/2020 21:58,34.29145151,-91.37277296,1,0,0,0,"Arkansas, Arkansas, US"
Virginia,US,4/1/2020 21:58,38.8767675,-77.10139853,119,2,0,0,"Arlington, Virginia, US"
Pennsylvania,US,4/1/2020 21:58,40.81665618,-79.46290811,5,0,0,0,"Armstrong, Pennsylvania, US"
Louisiana,US,4/1/2020 21:58,30.20406249,-90.9132841,189,5,0,0,"Ascension, Louisiana, US"
Ohio,US,4/1/2020 21:58,40.84772277,-82.27280781,2,0,0,0,"Ashland, Ohio, US"
Wisconsin,US,4/1/2020 21:58,46.31956891,-90.67837132,1,0,0,0,"Ashland, Wisconsin, US"
Arkansas,US,4/1/2020 21:58,33.19153461,-91.7698471,1,0,0,0,"Ashley, Arkansas, US"
Ohio,US,4/1/2020 21:58,41.70860332,-80.74830218,6,0,0,0,"Ashtabula, Ohio, US"
Louisiana,US,4/1/2020 21:58,29.89946234,-91.06461642,25,0,0,0,"Assumption, Louisiana, US"
Texas,US,4/1/2020 21:58,28.89333001,-98.52730485,2,0,0,0,"Atascosa, Texas, US"
Kansas,US,4/1/2020 21:58,39.53185661,-95.30870026,1,0,0,0,"Atchison, Kansas, US"
Missouri,US,4/1/2020 21:58,40.43238737,-95.42970639,1,0,0,0,"Atchison, Missouri, US"
Ohio,US,4/1/2020 21:58,39.33425634,-82.04278644,3,1,0,0,"Athens, Ohio, US"
New Jersey,US,4/1/2020 21:58,39.47538693,-74.65848483,40,0,0,0,"Atlantic, New Jersey, US"
Mississippi,US,4/1/2020 21:58,33.08658803,-89.57838564,11,0,0,0,"Attala, Mississippi, US"
Iowa,US,4/1/2020 21:58,41.6844628,-94.90581859,1,0,0,0,"Audubon, Iowa, US"
Ohio,US,4/1/2020 21:58,40.55998859,-84.2242143,3,0,0,0,"Auglaize, Ohio, US"
Virginia,US,4/1/2020 21:58,38.16404586,-79.12461614,1,0,0,0,"Augusta, Virginia, US"
South Dakota,US,4/1/2020 21:58,43.71757685,-98.56050467,1,0,0,0,"Aurora, South Dakota, US"
Texas,US,4/1/2020 21:58,29.88548725,-96.27736949,2,0,0,0,"Austin, Texas, US"
Alabama,US,4/1/2020 21:58,32.53952745,-86.64408227,8,0,0,0,"Autauga, Alabama, US"
Louisiana,US,4/1/2020 21:58,31.07796211,-92.00079449,31,2,0,0,"Avoyelles, Louisiana, US"
Colorado,US,4/1/2020 21:58,37.31940883,-102.5603223,3,0,0,0,"Baca, Colorado, US"
Georgia,US,4/1/2020 21:58,31.55456473,-82.45936528,6,0,0,0,"Bacon, Georgia, US"
Florida,US,4/1/2020 21:58,30.33060121,-82.28467476,9,0,0,0,"Baker, Florida, US"
Georgia,US,4/1/2020 21:58,31.32669878,-84.44218806,4,1,0,0,"Baker, Georgia, US"
Alabama,US,4/1/2020 21:58,30.72774991,-87.72207058,20,1,0,0,"Baldwin, Alabama, US"
Georgia,US,4/1/2020 21:58,33.06882326,-83.24701748,6,1,0,0,"Baldwin, Georgia, US"
Maryland,US,4/1/2020 21:58,39.45784712,-76.62911955,289,1,0,0,"Baltimore, Maryland, US"
Maryland,US,4/1/2020 21:58,39.30211911,-76.61151012,221,2,0,0,"Baltimore City, Maryland, US"
