Date,Country,Confirmed
3/21/2020,Algeria,139
3/22/2020,Algeria,201
3/23/2020,Algeria,230
3/24/2020,Algeria,264
3/25/2020,Algeria,302
3/26/2020,Algeria,367
3/27/2020,Algeria,409
3/28/2020,Algeria,454
3/29/2020,Algeria,511
3/3/2020,Algeria,5
3/30/2020,Algeria,584
3/31/2020,Algeria,716
3/4/2020,Algeria,12
3/5/2020,Algeria,12
3/6/2020,Algeria,17
3/7/2020,Algeria,17
3/8/2020,Algeria,19
3/9/2020,Algeria,20
4/1/2020,Algeria,847
1/22/2020,Andorra,0
1/23/2020,Andorra,0
1/24/2020,Andorra,0
1/25/2020,Andorra,0
1/26/2020,Andorra,0
1/27/2020,Andorra,0
1/28/2020,Andorra,0
1/29/2020,Andorra,0
1/30/2020,Andorra,0
1/31/2020,Andorra,0
2/1/2020,Andorra,0
2/10/2020,Andorra,0
2/11/2020,Andorra,0
2/12/2020,Andorra,0
2/13/2020,Andorra,0
2/14/2020,Andorra,0
2/15/2020,Andorra,0
2/16/2020,Andorra,0
2/17/2020,Andorra,0
2/18/2020,Andorra,0
2/19/2020,Andorra,0
2/2/2020,Andorra,0
2/20/2020,Andorra,0
2/21/2020,Andorra,0
2/22/2020,Andorra,0
2/23/2020,Andorra,0
2/24/2020,Andorra,0
2/25/2020,Andorra,0
2/26/2020,Andorra,0
2/27/2020,Andorra,0
2/28/2020,Andorra,0
2/29/2020,Andorra,0
2/3/2020,Andorra,0
2/4/2020,Andorra,0
2/5/2020,Andorra,0
2/6/2020,Andorra,0
2/7/2020,Andorra,0
2/8/2020,Andorra,0
2/9/2020,Andorra,0
3/1/2020,Andorra,0
3/10/2020,Andorra,1
3/11/2020,Andorra,1
3/12/2020,Andorra,1
3/13/2020,Andorra,1
3/14/2020,Andorra,1
3/15/2020,Andorra,1
3/16/2020,Andorra,2
3/17/2020,Andorra,39
3/18/2020,Andorra,39
3/19/2020,Andorra,53
3/2/2020,Andorra,1
3/20/2020,Andorra,75
3/21/2020,Andorra,88
3/22/2020,Andorra,113
3/23/2020,Andorra,133
3/24/2020,Andorra,164
3/25/2020,Andorra,188
3/26/2020,Andorra,224
3/27/2020,Andorra,267
3/28/2020,Andorra,308
3/29/2020,Andorra,334
3/3/2020,Andorra,1
3/30/2020,Andorra,370
3/31/2020,Andorra,376
3/4/2020,Andorra,1
3/5/2020,Andorra,1
3/6/2020,Andorra,1
3/7/2020,Andorra,1
3/8/2020,Andorra,1
3/9/2020,Andorra,1
4/1/2020,Andorra,390
1/22/2020,Angola,0
1/23/2020,Angola,0
1/24/2020,Angola,0
1/25/2020,Angola,0
1/26/2020,Angola,0
1/27/2020,Angola,0
1/28/2020,Angola,0
1/29/2020,Angola,0
1/30/2020,Angola,0
1/31/2020,Angola,0
2/1/2020,Angola,0
2/10/2020,Angola,0
2/11/2020,Angola,0
2/12/2020,Angola,0
2/13/2020,Angola,0
2/14/2020,Angola,0
2/15/2020,Angola,0
2/16/2020,Angola,0
2/17/2020,Angola,0
2/18/2020,Angola,0
2/19/2020,Angola,0
2/2/2020,Angola,0
2/20/2020,Angola,0
2/21/2020,Angola,0
2/22/2020,Angola,0
2/23/2020,Angola,0
2/24/2020,Angola,0
2/25/2020,Angola,0
2/26/2020,Angola,0
2/27/2020,Angola,0
2/28/2020,Angola,0
2/29/2020,Angola,0
2/3/2020,Angola,0
2/4/2020,Angola,0
2/5/2020,Angola,0
2/6/2020,Angola,0
2/7/2020,Angola,0
2/8/2020,Angola,0
2/9/2020,Angola,0
3/1/2020,Angola,0
3/10/2020,Angola,0
3/11/2020,Angola,0
3/12/2020,Angola,0
3/13/2020,Angola,0
3/14/2020,Angola,0
3/15/2020,Angola,0
3/16/2020,Angola,0
3/17/2020,Angola,0
3/18/2020,Angola,0
3/19/2020,Angola,0
3/2/2020,Angola,0
3/20/2020,Angola,1
3/21/2020,Angola,2
3/22/2020,Angola,2
3/23/2020,Angola,3
3/24/2020,Angola,3
3/25/2020,Angola,3
3/26/2020,Angola,4
3/27/2020,Angola,4
3/28/2020,Angola,5
3/29/2020,Angola,7
3/3/2020,Angola,0
3/30/2020,Angola,7
3/31/2020,Angola,7
3/4/2020,Angola,0
3/5/2020,Angola,0
3/6/2020,Angola,0
3/7/2020,Angola,0
3/8/2020,Angola,0
3/9/2020,Angola,0
4/1/2020,Angola,8
1/22/2020,Antigua and Barbuda,0
1/23/2020,Antigua and Barbuda,0
1/24/2020,Antigua and Barbuda,0
1/25/2020,Antigua and Barbuda,0
1/26/2020,Antigua and Barbuda,0
1/27/2020,Antigua and Barbuda,0
1/28/2020,Antigua and Barbuda,0
1/29/2020,Antigua and Barbuda,0
1/30/2020,Antigua and Barbuda,0
1/31/2020,Antigua and Barbuda,0
2/1/2020,Antigua and Barbuda,0
2/10/2020,Antigua and Barbuda,0
2/11/2020,Antigua and Barbuda,0
2/12/2020,Antigua and Barbuda,0
2/13/2020,Antigua and Barbuda,0
2/14/2020,Antigua and Barbuda,0
2/15/2020,Antigua and Barbuda,0
2/16/2020,Antigua and Barbuda,0
2/17/2020,Antigua and Barbuda,0
2/18/2020,Antigua and Barbuda,0
2/19/2020,Antigua and Barbuda,0
2/2/2020,Antigua and Barbuda,0
2/20/2020,Antigua and Barbuda,0
2/21/2020,Antigua and Barbuda,0
2/22/2020,Antigua and Barbuda,0
2/23/2020,Antigua and Barbuda,0
2/24/2020,Antigua and Barbuda,0
2/25/2020,Antigua and Barbuda,0
2/26/2020,Antigua and Barbuda,0
2/27/2020,Antigua and Barbuda,0
2/28/2020,Antigua and Barbuda,0
2/29/2020,Antigua and Barbuda,0
2/3/2020,Antigua and Barbuda,0
2/4/2020,Antigua and Barbuda,0
2/5/2020,Antigua and Barbuda,0
2/6/2020,Antigua and Barbuda,0
2/7/2020,Antigua and Barbuda,0
2/8/2020,Antigua and Barbuda,0
2/9/2020,Antigua and Barbuda,0
3/1/2020,Antigua and Barbuda,0
3/10/2020,Antigua and Barbuda,0
3/11/2020,Antigua and Barbuda,0
3/12/2020,Antigua and Barbuda,0
3/13/2020,Antigua and Barbuda,1
3/14/2020,Antigua and Barbuda,1
3/15/2020,Antigua and Barbuda,1
3/16/2020,Antigua and Barbuda,1
3/17/2020,Antigua and Barbuda,1
3/18/2020,Antigua and Barbuda,1
3/19/2020,Antigua and Barbuda,1
3/2/2020,Antigua and Barbuda,0
3/20/2020,Antigua and Barbuda,1
3/21/2020,Antigua and Barbuda,1
3/22/2020,Antigua and Barbuda,1
3/23/2020,Antigua and Barbuda,3
3/24/2020,Antigua and Barbuda,3
3/25/2020,Antigua and Barbuda,3
3/26/2020,Antigua and Barbuda,7
3/27/2020,Antigua and Barbuda,7
3/28/2020,Antigua and Barbuda,7
3/29/2020,Antigua and Barbuda,7
3/3/2020,Antigua and Barbuda,0
3/30/2020,Antigua and Barbuda,7
3/31/2020,Antigua and Barbuda,7
3/4/2020,Antigua and Barbuda,0
3/5/2020,Antigua and Barbuda,0
3/6/2020,Antigua and Barbuda,0
3/7/2020,Antigua and Barbuda,0
3/8/2020,Antigua and Barbuda,0
3/9/2020,Antigua and Barbuda,0
4/1/2020,Antigua and Barbuda,7
1/22/2020,Argentina,0
1/23/2020,Argentina,0
1/24/2020,Argentina,0
1/25/2020,Argentina,0
1/26/2020,Argentina,0
1/27/2020,Argentina,0
1/28/2020,Argentina,0
1/29/2020,Argentina,0
1/30/2020,Argentina,0
1/31/2020,Argentina,0
2/1/2020,Argentina,0
2/10/2020,Argentina,0
2/11/2020,Argentina,0
2/12/2020,Argentina,0
2/13/2020,Argentina,0
2/14/2020,Argentina,0
2/15/2020,Argentina,0
2/16/2020,Argentina,0
2/17/2020,Argentina,0
2/18/2020,Argentina,0
2/19/2020,Argentina,0
2/2/2020,Argentina,0
2/20/2020,Argentina,0
2/21/2020,Argentina,0
2/22/2020,Argentina,0
2/23/2020,Argentina,0
2/24/2020,Argentina,0
2/25/2020,Argentina,0
2/26/2020,Argentina,0
2/27/2020,Argentina,0
2/28/2020,Argentina,0
2/29/2020,Argentina,0
2/3/2020,Argentina,0
2/4/2020,Argentina,0
2/5/2020,Argentina,0
2/6/2020,Argentina,0
2/7/2020,Argentina,0
2/8/2020,Argentina,0
2/9/2020,Argentina,0
3/1/2020,Argentina,0
3/10/2020,Argentina,17
3/11/2020,Argentina,19
3/12/2020,Argentina,19
3/13/2020,Argentina,31
3/14/2020,Argentina,34
3/15/2020,Argentina,45
3/16/2020,Argentina,56
3/17/2020,Argentina,68
3/18/2020,Argentina,79
3/19/2020,Argentina,97
3/2/2020,Argentina,0
3/20/2020,Argentina,128
3/21/2020,Argentina,158
3/22/2020,Argentina,266
3/23/2020,Argentina,301
3/24/2020,Argentina,387
3/25/2020,Argentina,387
3/26/2020,Argentina,502
3/27/2020,Argentina,589
3/28/2020,Argentina,690
3/29/2020,Argentina,745
3/3/2020,Argentina,1
3/30/2020,Argentina,820
3/31/2020,Argentina,1054
3/4/2020,Argentina,1
3/5/2020,Argentina,1
3/6/2020,Argentina,2
3/7/2020,Argentina,8
3/8/2020,Argentina,12
3/9/2020,Argentina,12
4/1/2020,Argentina,1054
1/22/2020,Armenia,0
1/23/2020,Armenia,0
1/24/2020,Armenia,0
1/25/2020,Armenia,0
1/26/2020,Armenia,0
1/27/2020,Armenia,0
1/28/2020,Armenia,0
1/29/2020,Armenia,0
1/30/2020,Armenia,0
1/31/2020,Armenia,0
2/1/2020,Armenia,0
2/10/2020,Armenia,0
2/11/2020,Armenia,0
2/12/2020,Armenia,0
2/13/2020,Armenia,0
2/14/2020,Armenia,0
2/15/2020,Armenia,0
2/16/2020,Armenia,0
2/17/2020,Armenia,0
2/18/2020,Armenia,0
2/19/2020,Armenia,0
2/2/2020,Armenia,0
2/20/2020,Armenia,0
2/21/2020,Armenia,0
2/22/2020,Armenia,0
2/23/2020,Armenia,0
2/24/2020,Armenia,0
2/25/2020,Armenia,0
2/26/2020,Armenia,0
2/27/2020,Armenia,0
2/28/2020,Armenia,0
2/29/2020,Armenia,0
2/3/2020,Armenia,0
2/4/2020,Armenia,0
2/5/2020,Armenia,0
2/6/2020,Armenia,0
2/7/2020,Armenia,0
2/8/2020,Armenia,0
2/9/2020,Armenia,0
3/1/2020,Armenia,1
3/10/2020,Armenia,1
3/11/2020,Armenia,1
3/12/2020,Armenia,4
3/13/2020,Armenia,8
3/14/2020,Armenia,18
3/15/2020,Armenia,26
3/16/2020,Armenia,52
3/17/2020,Armenia,78
3/18/2020,Armenia,84
3/19/2020,Armenia,115
3/2/2020,Armenia,1
3/20/2020,Armenia,136
3/21/2020,Armenia,160
3/22/2020,Armenia,194
3/23/2020,Armenia,235
3/24/2020,Armenia,249
3/25/2020,Armenia,265
3/26/2020,Armenia,290
3/27/2020,Armenia,329
3/28/2020,Armenia,407
3/29/2020,Armenia,424
3/3/2020,Armenia,1
3/30/2020,Armenia,482
3/31/2020,Armenia,532
3/4/2020,Armenia,1
3/5/2020,Armenia,1
3/6/2020,Armenia,1
3/7/2020,Armenia,1
3/8/2020,Armenia,1
3/9/2020,Armenia,1
4/1/2020,Armenia,571
1/22/2020,Australia,0
1/23/2020,Australia,0
1/24/2020,Australia,0
1/25/2020,Australia,0
1/26/2020,Australia,0
1/27/2020,Australia,0
1/28/2020,Australia,0
1/29/2020,Australia,0
1/30/2020,Australia,0
1/31/2020,Australia,0
2/1/2020,Australia,0
2/10/2020,Australia,0
2/11/2020,Australia,0
2/12/2020,Australia,0
2/13/2020,Australia,0
2/14/2020,Australia,0
2/15/2020,Australia,0
2/16/2020,Australia,0
2/17/2020,Australia,0
2/18/2020,Australia,0
2/19/2020,Australia,0
2/2/2020,Australia,0
2/20/2020,Australia,0
2/21/2020,Australia,0
2/22/2020,Australia,0
2/23/2020,Australia,0
2/24/2020,Australia,0
2/25/2020,Australia,0
2/26/2020,Australia,0
2/27/2020,Australia,0
2/28/2020,Australia,0
2/29/2020,Australia,0
2/3/2020,Australia,0
2/4/2020,Australia,0
2/5/2020,Australia,0
2/6/2020,Australia,0
2/7/2020,Australia,0
2/8/2020,Australia,0
2/9/2020,Australia,0
3/1/2020,Australia,0
3/10/2020,Australia,0
3/11/2020,Australia,0
3/12/2020,Australia,0
3/13/2020,Australia,1
3/14/2020,Australia,1
3/15/2020,Australia,1
3/16/2020,Australia,2
3/17/2020,Australia,2
3/18/2020,Australia,3
3/19/2020,Australia,4
3/2/2020,Australia,0
3/20/2020,Australia,6
3/21/2020,Australia,9
3/22/2020,Australia,19
3/23/2020,Australia,32
3/24/2020,Australia,39
3/25/2020,Australia,39
3/26/2020,Australia,53
3/27/2020,Australia,62
3/28/2020,Australia,71
3/29/2020,Australia,77
3/3/2020,Australia,0
3/30/2020,Australia,78
3/31/2020,Australia,80
3/4/2020,Australia,0
3/5/2020,Australia,0
3/6/2020,Australia,0
3/7/2020,Australia,0
3/8/2020,Australia,0
3/9/2020,Australia,0
4/1/2020,Australia,84
1/22/2020,Australia,0
1/23/2020,Australia,0
1/24/2020,Australia,0
1/25/2020,Australia,0
1/26/2020,Australia,3
1/27/2020,Australia,4
1/28/2020,Australia,4
1/29/2020,Australia,4
1/30/2020,Australia,4
1/31/2020,Australia,4
2/1/2020,Australia,4
2/10/2020,Australia,4
2/11/2020,Australia,4
2/12/2020,Australia,4
2/13/2020,Australia,4
2/14/2020,Australia,4
2/15/2020,Australia,4
2/16/2020,Australia,4
2/17/2020,Australia,4
2/18/2020,Australia,4
2/19/2020,Australia,4
2/2/2020,Australia,4
2/20/2020,Australia,4
2/21/2020,Australia,4
2/22/2020,Australia,4
2/23/2020,Australia,4
2/24/2020,Australia,4
2/25/2020,Australia,4
2/26/2020,Australia,4
2/27/2020,Australia,4
2/28/2020,Australia,4
2/29/2020,Australia,4
2/3/2020,Australia,4
2/4/2020,Australia,4
2/5/2020,Australia,4
2/6/2020,Australia,4
2/7/2020,Australia,4
2/8/2020,Australia,4
2/9/2020,Australia,4
3/1/2020,Australia,6
3/10/2020,Australia,55
3/11/2020,Australia,65
3/12/2020,Australia,65
3/13/2020,Australia,92
3/14/2020,Australia,112
3/15/2020,Australia,134
3/16/2020,Australia,171
3/17/2020,Australia,210
3/18/2020,Australia,267
3/19/2020,Australia,307
3/2/2020,Australia,6
